country,rate,url
Japan,3.7,https://www.countryflags.io/jp/flat/64.png
Iceland,6,https://www.countryflags.io/is/flat/64.png
Germany,6.2,https://www.countryflags.io/de/flat/64.png
Czech Republic,6.7,https://www.countryflags.io/cz/flat/64.png
Mexico,6.9,https://www.countryflags.io/mx/flat/64.png
Israel,7.1,https://www.countryflags.io/il/flat/64.png
Netherlands,7.2,https://www.countryflags.io/nl/flat/64.png
Switzerland,7.9,https://www.countryflags.io/ch/flat/64.png
United States,8.6,https://www.countryflags.io/us/flat/64.png
Slovenia,8.8,https://www.countryflags.io/si/flat/64.png
Denmark,9.4,https://www.countryflags.io/dk/flat/64.png
Austria,9.4,https://www.countryflags.io/at/flat/64.png
Norway,9.7,https://www.countryflags.io/no/flat/64.png
Hungary,10.2,https://www.countryflags.io/hu/flat/64.png
"Korea, South",10.5,https://www.countryflags.io/kr/flat/64.png
Canada,11.1,https://www.countryflags.io/ca/flat/64.png
Lithuania,11.2,https://www.countryflags.io/lt/flat/64.png
United Kingdom,11.3,https://www.countryflags.io/gb/flat/64.png
New Zealand,11.5,https://www.countryflags.io/nz/flat/64.png
Poland,11.8,https://www.countryflags.io/pl/flat/64.png
Australia,11.8,https://www.countryflags.io/au/flat/64.png
Estonia,11.9,https://www.countryflags.io/ee/flat/64.png
Latvia,12.2,https://www.countryflags.io/lv/flat/64.png
Ireland,13.7,https://www.countryflags.io/ie/flat/64.png
Luxembourg,14.1,https://www.countryflags.io/lu/flat/64.png
Slovakia,14.9,https://www.countryflags.io/sk/flat/64.png
Belgium,15.9,https://www.countryflags.io/be/flat/64.png
Sweden,16.7,https://www.countryflags.io/se/flat/64.png
Finland,16.8,https://www.countryflags.io/fi/flat/64.png
Chile,17.6,https://www.countryflags.io/cl/flat/64.png
Turkey,20.1,https://www.countryflags.io/tr/flat/64.png
Portugal,20.3,https://www.countryflags.io/pt/flat/64.png
France,20.8,https://www.countryflags.io/fr/flat/64.png
Italy,32.2,https://www.countryflags.io/it/flat/64.png
Spain,34.4,https://www.countryflags.io/es/flat/64.png
Greece,39.9,https://www.countryflags.io/gr/flat/64.png
